state,action,nextState,reward
"(-1, -1, 1)",activePlanning,"(1, -1, 1)",7.710013442
"(1, 1, 1)",activePlanning,"(1, -1, 0)",5.791652568
"(1, -1, -1)",rewardPunish,"(1, 1, -1)",6.146695686
"(1, -1, 1)",remindTruths,"(0, 0, 1)",5.248237318
"(1, 1, 1)",rewardPunish,"(-1, -1, 1)",2.26447003
"(-1, -1, 1)",rewardPunish,"(1, 1, -1)",6.478246883
"(1, 1, 1)",remindTruths,"(1, 1, 0)",1.973758927
"(0, 0, 1)",activePlanning,"(-1, 0, 1)",6.001969268
"(0, 1, -1)",activePlanning,"(0, 1, -1)",1.652267253
"(0, 0, 1)",remindTruths,"(1, 0, 1)",6.506005933
"(-1, -1, 1)",rewardPunish,"(0, -1, 0)",2.270701101
"(-1, -1, -1)",activePlanning,"(1, 0, 0)",3.615444357
"(1, 0, 1)",remindTruths,"(1, -1, 0)",6.460934597
"(0, 1, 1)",activePlanning,"(-1, -1, 0)",9.058772704
"(-1, 1, 1)",rewardPunish,"(1, 0, 0)",2.541515834
"(0, 1, 1)",remindTruths,"(-1, -1, -1)",9.322905899
"(1, 1, 0)",remindTruths,"(-1, 1, 0)",8.191943492
"(-1, 1, 0)",activePlanning,"(1, -1, -1)",9.852832787
"(0, -1, -1)",rewardPunish,"(0, -1, 1)",8.532424397
"(-1, -1, 1)",rewardPunish,"(1, 0, -1)",5.752935137
"(0, 1, 1)",activePlanning,"(1, 1, 1)",5.826056888
"(-1, 0, 1)",activePlanning,"(1, 1, 0)",6.438524362
"(0, 1, 1)",remindTruths,"(0, 1, 0)",4.57427046
"(-1, 1, 1)",activePlanning,"(0, 1, 0)",8.596843432
"(0, 1, 1)",remindTruths,"(0, 1, -1)",7.216958274
"(0, -1, 1)",activePlanning,"(0, 0, 0)",6.540760973
"(1, -1, 1)",remindTruths,"(-1, -1, -1)",2.710454963
"(-1, 0, 0)",activePlanning,"(0, 0, 1)",4.092602967
"(-1, 1, 1)",remindTruths,"(1, 1, 1)",1.075122557
"(-1, 0, -1)",rewardPunish,"(1, 1, -1)",5.666726697
"(-1, 1, 0)",rewardPunish,"(-1, 1, 0)",8.933116611
"(0, 0, 0)",rewardPunish,"(0, -1, 1)",1.596872176
"(-1, -1, 0)",rewardPunish,"(1, 0, 1)",1.755458512
"(0, 1, 0)",activePlanning,"(0, -1, -1)",1.583060592
"(0, 0, 1)",activePlanning,"(0, 1, 0)",5.579123397
"(0, 1, 1)",remindTruths,"(0, -1, 0)",5.875349253
"(1, 0, 1)",remindTruths,"(-1, 0, 1)",9.925108685
"(0, 0, -1)",rewardPunish,"(0, -1, 1)",5.882360323
"(0, 1, 0)",activePlanning,"(1, 1, 0)",7.18218092
"(0, 0, 0)",rewardPunish,"(-1, 0, 0)",8.848222135
"(1, 0, -1)",remindTruths,"(0, 1, 1)",4.549884605
"(-1, 0, -1)",rewardPunish,"(1, 0, 0)",6.810475422
"(1, 1, 1)",remindTruths,"(0, -1, 1)",6.23029282
"(1, -1, 1)",rewardPunish,"(-1, -1, -1)",1.782053903
"(-1, 1, 1)",rewardPunish,"(1, -1, -1)",1.328516037
"(0, -1, 0)",remindTruths,"(-1, 0, 1)",4.461270958
"(0, 1, -1)",activePlanning,"(0, 0, 1)",7.657733991
"(-1, 1, 1)",rewardPunish,"(1, -1, 1)",4.618858678
"(0, -1, -1)",remindTruths,"(0, 0, 1)",8.573296686
"(-1, 0, -1)",activePlanning,"(0, 0, 0)",6.251953452
"(1, 0, 0)",rewardPunish,"(1, 0, 1)",4.540005919
"(1, -1, -1)",activePlanning,"(1, -1, 0)",6.586337097
"(0, 1, 1)",activePlanning,"(1, 0, -1)",3.768090467
"(0, 1, 0)",rewardPunish,"(0, 0, 1)",7.533175651
"(0, 1, 0)",remindTruths,"(1, 1, 0)",4.655119312
"(1, 0, 0)",activePlanning,"(1, -1, -1)",5.346833331
"(1, 1, 0)",remindTruths,"(0, 1, 0)",8.76195339
"(1, 0, 0)",activePlanning,"(1, -1, 1)",2.899625867
"(1, 1, 0)",activePlanning,"(1, -1, 1)",4.304270362
"(-1, 1, -1)",rewardPunish,"(-1, -1, -1)",3.0672154
"(-1, 1, -1)",rewardPunish,"(1, -1, 0)",8.170039947
"(-1, 1, 1)",remindTruths,"(1, -1, -1)",7.183754978
"(0, 0, 1)",remindTruths,"(-1, -1, -1)",5.300892188
"(-1, -1, 0)",activePlanning,"(1, 0, 1)",7.989723834
"(-1, 0, 0)",rewardPunish,"(1, 1, 1)",9.768744785
"(1, -1, 0)",remindTruths,"(1, 1, -1)",2.201839865
"(0, 0, 1)",rewardPunish,"(-1, 0, 0)",8.396307923
"(1, -1, -1)",rewardPunish,"(0, 1, -1)",2.528390303
"(1, -1, 0)",remindTruths,"(0, -1, 0)",1.981618319
"(-1, 1, 0)",remindTruths,"(1, 1, -1)",6.586735784
"(-1, -1, 0)",remindTruths,"(-1, 1, 0)",8.601186714
"(1, 0, 0)",activePlanning,"(-1, 0, -1)",6.57353612
"(1, 0, 0)",remindTruths,"(1, 0, 0)",4.373009813
"(-1, -1, 1)",rewardPunish,"(0, 1, -1)",1.326217082
"(-1, 0, 0)",remindTruths,"(0, 0, 0)",1.206976803
"(1, 1, -1)",rewardPunish,"(0, -1, -1)",5.833219082
"(0, 0, -1)",remindTruths,"(0, 0, 0)",4.317969394
"(1, 0, 1)",rewardPunish,"(0, 1, 1)",1.097899292
"(-1, -1, 0)",activePlanning,"(1, 1, 0)",1.360739611
"(0, 0, 1)",activePlanning,"(0, 1, 1)",8.785289718
"(-1, 1, 0)",rewardPunish,"(0, 0, 0)",8.931376061
"(0, -1, 1)",remindTruths,"(0, 1, -1)",5.400565128
"(0, -1, -1)",rewardPunish,"(-1, 0, 1)",9.86650889
"(1, 0, 0)",rewardPunish,"(0, 0, 1)",8.870293695
"(-1, -1, -1)",rewardPunish,"(0, 0, -1)",4.309034569
"(-1, -1, 1)",remindTruths,"(-1, -1, 1)",5.69676545
"(1, 1, 1)",remindTruths,"(-1, 1, -1)",8.464247531
"(-1, 1, -1)",remindTruths,"(1, 0, 0)",8.958119372
"(1, 1, -1)",remindTruths,"(0, -1, 1)",1.510702781
"(1, 1, 0)",rewardPunish,"(-1, 1, 0)",4.998019774
"(0, -1, 0)",rewardPunish,"(1, -1, -1)",6.578105381
"(0, 1, 0)",activePlanning,"(0, -1, 0)",1.571331478
"(0, 1, 1)",rewardPunish,"(1, -1, -1)",6.548411202
"(1, 1, 1)",remindTruths,"(-1, -1, 1)",2.451774962
"(1, 1, 0)",remindTruths,"(-1, -1, -1)",3.100097007
"(1, -1, -1)",activePlanning,"(-1, 0, -1)",5.942209134
"(0, 1, -1)",rewardPunish,"(1, 0, 1)",2.745614559
"(1, 0, 1)",activePlanning,"(1, -1, 1)",1.643055302
"(1, 0, 0)",activePlanning,"(1, 1, -1)",6.339179618
"(0, 1, -1)",rewardPunish,"(0, 0, 0)",2.68515196
"(-1, 0, 1)",activePlanning,"(0, 1, 0)",8.409449087
"(-1, 1, 1)",rewardPunish,"(0, -1, 1)",3.504116462
"(-1, 1, 1)",activePlanning,"(1, -1, 0)",5.506239949
"(0, 1, 1)",remindTruths,"(1, 0, 1)",7.361004028
"(1, 1, 1)",rewardPunish,"(-1, -1, 0)",8.174219839
"(-1, 0, 0)",rewardPunish,"(0, 0, 1)",6.967945839
"(-1, 1, 1)",remindTruths,"(0, -1, 0)",3.857963985
"(0, 0, -1)",activePlanning,"(1, 1, 0)",4.970232693
"(1, 1, 0)",remindTruths,"(1, 0, -1)",9.08386061
"(-1, -1, 0)",activePlanning,"(-1, 1, -1)",6.019082448
"(-1, 1, 1)",activePlanning,"(-1, 0, 1)",7.960123931
"(1, -1, 0)",rewardPunish,"(0, -1, 0)",5.812018494
"(0, -1, 1)",rewardPunish,"(1, 0, 1)",3.519569348
"(0, 1, 1)",remindTruths,"(0, -1, 1)",8.441871616
"(0, -1, 1)",activePlanning,"(1, -1, -1)",5.618262799
"(-1, 1, -1)",activePlanning,"(-1, 0, 0)",3.38475748
"(-1, 1, 0)",remindTruths,"(-1, 0, -1)",2.312277318
"(1, 0, 0)",remindTruths,"(0, 1, -1)",9.90266637
"(0, 1, -1)",activePlanning,"(-1, 1, 0)",4.97387904
"(0, -1, -1)",remindTruths,"(-1, 0, -1)",8.226886181
"(0, 1, 0)",activePlanning,"(0, 0, 0)",5.39394281
"(-1, -1, 0)",activePlanning,"(-1, -1, 1)",7.50616665
"(-1, -1, 1)",remindTruths,"(0, 1, -1)",8.537607041
"(0, 0, -1)",activePlanning,"(-1, -1, -1)",3.019033359
"(-1, -1, 0)",remindTruths,"(1, 1, 1)",7.913809149
"(0, 1, 0)",activePlanning,"(0, 1, 1)",3.120610999
"(0, -1, 1)",activePlanning,"(-1, 0, 0)",9.518144351
"(-1, 1, 0)",activePlanning,"(1, 0, -1)",5.068114051
"(-1, 0, 0)",activePlanning,"(1, 1, 1)",5.511834071
"(0, 0, 1)",rewardPunish,"(1, -1, 1)",2.652670113
"(1, 0, 1)",activePlanning,"(1, -1, -1)",6.846880028
"(1, -1, 0)",activePlanning,"(-1, 0, -1)",5.163050036
"(-1, 1, -1)",rewardPunish,"(-1, -1, 1)",7.885608215
"(1, -1, 1)",remindTruths,"(0, 1, 0)",2.965279766
"(-1, 0, 1)",rewardPunish,"(-1, 1, -1)",6.703689047
"(0, 0, 1)",rewardPunish,"(-1, 1, 1)",3.694297179
"(-1, 0, 0)",activePlanning,"(0, 1, 0)",5.037438238
"(1, 1, 0)",rewardPunish,"(-1, 0, 0)",1.053596611
"(1, 0, -1)",remindTruths,"(0, -1, -1)",7.598862358
"(1, 1, -1)",remindTruths,"(-1, -1, 1)",1.693417648
"(1, 0, -1)",rewardPunish,"(-1, 0, -1)",6.682153621
"(0, 1, -1)",remindTruths,"(1, 0, 0)",2.73452047
"(1, 0, -1)",rewardPunish,"(0, 0, 1)",9.997096629
"(0, 0, 1)",rewardPunish,"(1, 1, -1)",1.454835662
"(0, 1, 0)",activePlanning,"(-1, 1, 0)",8.809024936
"(-1, -1, -1)",rewardPunish,"(-1, 1, 1)",6.71616268
"(1, 1, 1)",remindTruths,"(-1, 1, -1)",7.957071956
"(1, 0, 0)",remindTruths,"(1, 0, 1)",2.829100212
"(1, 0, -1)",rewardPunish,"(-1, -1, -1)",1.121293525
"(0, 0, 1)",activePlanning,"(-1, 1, 1)",9.637429933
"(0, -1, 0)",activePlanning,"(0, 1, 1)",5.320853299
"(0, -1, 1)",activePlanning,"(0, -1, -1)",1.02057725
"(-1, 1, -1)",rewardPunish,"(0, -1, -1)",4.571480416
"(-1, 1, 0)",remindTruths,"(0, 0, 0)",8.318166408
"(0, 0, 0)",rewardPunish,"(1, 1, 0)",4.462640572
"(0, 1, 1)",rewardPunish,"(-1, -1, 1)",5.860352851
"(-1, -1, -1)",remindTruths,"(1, 1, 0)",7.405610006
"(-1, -1, -1)",activePlanning,"(-1, 0, 1)",1.279714752
"(-1, -1, -1)",activePlanning,"(1, 0, -1)",2.237703924
"(1, -1, -1)",rewardPunish,"(0, -1, -1)",5.560542647
"(1, 1, 0)",rewardPunish,"(-1, -1, -1)",1.089830318
"(1, -1, -1)",rewardPunish,"(1, 1, 0)",8.025935102
"(-1, 0, -1)",activePlanning,"(0, 0, 0)",3.173101957
"(1, 0, -1)",rewardPunish,"(1, 0, 0)",9.062404588
"(-1, 1, -1)",activePlanning,"(-1, -1, 1)",5.68014877
"(1, 1, -1)",activePlanning,"(-1, 0, -1)",4.753606155
"(1, 0, 1)",remindTruths,"(0, -1, 0)",3.413502489
"(0, 0, 1)",rewardPunish,"(0, 0, -1)",1.079966951
"(-1, -1, -1)",activePlanning,"(-1, -1, 1)",6.944178556
"(0, 0, -1)",activePlanning,"(-1, -1, -1)",4.574360056
"(0, -1, 1)",remindTruths,"(0, -1, 1)",4.265596937
"(0, -1, 0)",activePlanning,"(-1, 1, -1)",8.002426734
"(1, 1, 1)",remindTruths,"(1, 1, -1)",2.471707464
"(0, -1, 1)",activePlanning,"(0, 1, 1)",2.727958846
"(0, 0, 0)",activePlanning,"(1, -1, -1)",1.765742418
"(-1, 0, 0)",remindTruths,"(1, 1, 0)",9.700764668
"(-1, 0, 0)",remindTruths,"(-1, -1, 1)",2.972138375
"(1, 0, 1)",remindTruths,"(0, 1, 0)",4.754917643
"(1, 0, 0)",remindTruths,"(-1, 0, 1)",9.999550792
"(-1, 0, 1)",activePlanning,"(0, -1, 0)",4.726313597
"(0, 0, 1)",activePlanning,"(0, 0, 0)",4.716385176
"(0, -1, 0)",remindTruths,"(0, 0, -1)",9.784713282
"(-1, 1, -1)",remindTruths,"(1, -1, 1)",7.683440378
"(-1, -1, 1)",rewardPunish,"(-1, -1, -1)",9.885107979
"(1, 1, -1)",activePlanning,"(-1, 1, 0)",5.284470403
"(-1, 0, -1)",remindTruths,"(0, 1, -1)",9.724612415
"(1, -1, -1)",remindTruths,"(1, 1, 1)",7.292797075
"(0, 1, -1)",rewardPunish,"(1, 1, 1)",6.37533667
"(0, 0, 1)",rewardPunish,"(0, 0, 1)",2.033018226
"(-1, 1, -1)",rewardPunish,"(0, -1, 0)",8.372920435
"(1, 1, 1)",remindTruths,"(-1, -1, 1)",1.94051272
"(-1, -1, 0)",rewardPunish,"(0, -1, -1)",6.000769431
"(0, -1, 0)",rewardPunish,"(-1, 1, 1)",7.488149803
"(0, 1, -1)",activePlanning,"(0, 0, 1)",1.089669728
"(-1, 1, 0)",remindTruths,"(1, -1, -1)",3.491892999
"(0, 0, -1)",rewardPunish,"(1, -1, -1)",5.129249475
"(1, -1, 0)",remindTruths,"(1, -1, -1)",8.839973799
"(1, 1, 1)",rewardPunish,"(0, -1, 1)",5.642894842
